Country,Time Serie,Rate
INDIA/US,13/09/2000,45.7
INDIA/US,14/09/2000,45.8
INDIA/US,15/09/2000,45.85
INDIA/US,18/09/2000,46.15
INDIA/US,19/09/2000,46.45
INDIA/US,20/09/2000,46.3
INDIA/US,21/09/2000,46.09
INDIA/US,22/09/2000,46.18
INDIA/US,25/09/2000,46.16
INDIA/US,26/09/2000,46.1
INDIA/US,27/09/2000,46.15
INDIA/US,28/09/2000,46.05
INDIA/US,29/09/2000,46.06
INDIA/US,02/10/2000,46.1
INDIA/US,03/10/2000,46.18
INDIA/US,04/10/2000,46.17
INDIA/US,05/10/2000,46.17
INDIA/US,06/10/2000,46.17
INDIA/US,10/10/2000,46.25
INDIA/US,11/10/2000,46.35
INDIA/US,12/10/2000,46.3
INDIA/US,13/10/2000,46.45
INDIA/US,16/10/2000,46.4
INDIA/US,17/10/2000,46.35
INDIA/US,18/10/2000,46.45
INDIA/US,19/10/2000,46.4
INDIA/US,20/10/2000,46.4
INDIA/US,23/10/2000,46.45
INDIA/US,24/10/2000,46.48
INDIA/US,25/10/2000,46.7
INDIA/US,26/10/2000,46.7
INDIA/US,27/10/2000,46.78
INDIA/US,30/10/2000,46.78
INDIA/US,31/10/2000,46.9
INDIA/US,01/11/2000,46.82
INDIA/US,02/11/2000,46.85
INDIA/US,03/11/2000,46.7
INDIA/US,06/11/2000,46.64
INDIA/US,07/11/2000,46.7
INDIA/US,08/11/2000,46.72
INDIA/US,09/11/2000,46.75
INDIA/US,10/11/2000,46.78
INDIA/US,13/11/2000,46.77
INDIA/US,14/11/2000,46.85
INDIA/US,15/11/2000,46.83
INDIA/US,16/11/2000,46.85
INDIA/US,17/11/2000,46.82
INDIA/US,20/11/2000,46.9
INDIA/US,21/11/2000,46.85
INDIA/US,22/11/2000,46.86
INDIA/US,24/11/2000,46.91
INDIA/US,27/11/2000,46.9
INDIA/US,28/11/2000,46.93
INDIA/US,29/11/2000,46.95
INDIA/US,30/11/2000,46.87
INDIA/US,01/12/2000,46.89
INDIA/US,04/12/2000,46.88
INDIA/US,05/12/2000,46.8
INDIA/US,06/12/2000,46.78
INDIA/US,07/12/2000,46.8
INDIA/US,08/12/2000,46.8
INDIA/US,11/12/2000,46.78
INDIA/US,12/12/2000,46.78
INDIA/US,13/12/2000,46.8
INDIA/US,14/12/2000,46.8
INDIA/US,15/12/2000,46.8
INDIA/US,18/12/2000,46.79
INDIA/US,19/12/2000,46.75
INDIA/US,20/12/2000,46.75
INDIA/US,21/12/2000,46.74
INDIA/US,22/12/2000,46.77
INDIA/US,26/12/2000,46.75
INDIA/US,27/12/2000,46.73
INDIA/US,28/12/2000,46.75
INDIA/US,29/12/2000,46.75
INDIA/US,02/01/2001,46.74
INDIA/US,03/01/2001,46.75
INDIA/US,04/01/2001,46.78
INDIA/US,05/01/2001,46.76
INDIA/US,08/01/2001,46.73
INDIA/US,09/01/2001,46.68
INDIA/US,10/01/2001,46.68
INDIA/US,11/01/2001,46.68
INDIA/US,12/01/2001,47.47
INDIA/US,16/01/2001,46.55
INDIA/US,17/01/2001,46.48
INDIA/US,18/01/2001,46.45
INDIA/US,19/01/2001,46.43
INDIA/US,22/01/2001,46.43
INDIA/US,23/01/2001,46.39
INDIA/US,24/01/2001,46.42
INDIA/US,25/01/2001,46.54
INDIA/US,26/01/2001,46.53
INDIA/US,29/01/2001,46.5
INDIA/US,30/01/2001,46.46
INDIA/US,31/01/2001,46.44
INDIA/US,01/02/2001,46.41
INDIA/US,02/02/2001,46.44
INDIA/US,05/02/2001,46.43
INDIA/US,06/02/2001,46.42
INDIA/US,07/02/2001,46.46
INDIA/US,08/02/2001,46.46
INDIA/US,09/02/2001,46.54
INDIA/US,12/02/2001,46.56
INDIA/US,13/02/2001,46.6
INDIA/US,14/02/2001,46.65
INDIA/US,15/02/2001,46.63
INDIA/US,16/02/2001,46.55
INDIA/US,20/02/2001,46.66
INDIA/US,21/02/2001,46.65
INDIA/US,22/02/2001,46.63
INDIA/US,23/02/2001,46.65
INDIA/US,26/02/2001,46.66
INDIA/US,27/02/2001,46.68
INDIA/US,28/02/2001,46.59
INDIA/US,01/03/2001,46.59
INDIA/US,02/03/2001,46.59
INDIA/US,05/03/2001,46.57
INDIA/US,06/03/2001,46.53
INDIA/US,07/03/2001,46.57
INDIA/US,08/03/2001,46.56
INDIA/US,09/03/2001,46.55
INDIA/US,12/03/2001,46.57
INDIA/US,13/03/2001,46.7
INDIA/US,14/03/2001,46.69
INDIA/US,15/03/2001,46.66
INDIA/US,16/03/2001,46.69
INDIA/US,19/03/2001,46.72
INDIA/US,20/03/2001,46.71
INDIA/US,21/03/2001,46.71
INDIA/US,22/03/2001,46.74
INDIA/US,23/03/2001,46.72
INDIA/US,26/03/2001,46.69
INDIA/US,27/03/2001,46.65
INDIA/US,28/03/2001,46.65
INDIA/US,29/03/2001,46.66
INDIA/US,30/03/2001,46.85
INDIA/US,02/04/2001,46.65
INDIA/US,03/04/2001,46.67
INDIA/US,04/04/2001,46.6
INDIA/US,05/04/2001,46.64
INDIA/US,06/04/2001,46.58
INDIA/US,09/04/2001,46.58
INDIA/US,10/04/2001,46.6
INDIA/US,11/04/2001,46.75
INDIA/US,12/04/2001,46.75
INDIA/US,13/04/2001,46.89
INDIA/US,16/04/2001,47.07
INDIA/US,17/04/2001,46.95
INDIA/US,18/04/2001,46.95
INDIA/US,19/04/2001,46.88
INDIA/US,20/04/2001,46.88
INDIA/US,23/04/2001,46.82
INDIA/US,24/04/2001,46.88
INDIA/US,25/04/2001,46.88
INDIA/US,26/04/2001,46.78
INDIA/US,27/04/2001,46.88
INDIA/US,30/04/2001,46.88
INDIA/US,01/05/2001,46.87
INDIA/US,02/05/2001,46.87
INDIA/US,03/05/2001,46.87
INDIA/US,04/05/2001,46.87
INDIA/US,07/05/2001,46.84
INDIA/US,08/05/2001,46.83
INDIA/US,09/05/2001,46.85
INDIA/US,10/05/2001,46.88
INDIA/US,11/05/2001,46.85
INDIA/US,14/05/2001,47
INDIA/US,15/05/2001,47.03
INDIA/US,16/05/2001,46.97
INDIA/US,17/05/2001,46.99
INDIA/US,18/05/2001,46.98
INDIA/US,21/05/2001,47
INDIA/US,22/05/2001,47.06
INDIA/US,23/05/2001,47.02
INDIA/US,24/05/2001,47.02
INDIA/US,25/05/2001,47.02
INDIA/US,29/05/2001,47.02
INDIA/US,30/05/2001,47
INDIA/US,31/05/2001,47
INDIA/US,01/06/2001,47.05
INDIA/US,04/06/2001,47.06
INDIA/US,05/06/2001,47
INDIA/US,06/06/2001,47.03
INDIA/US,07/06/2001,47
INDIA/US,08/06/2001,47.03
INDIA/US,11/06/2001,47.04
INDIA/US,12/06/2001,47.08
INDIA/US,13/06/2001,47.09
INDIA/US,14/06/2001,47
INDIA/US,15/06/2001,47.05
INDIA/US,18/06/2001,47.02
INDIA/US,19/06/2001,47.02
INDIA/US,20/06/2001,47.01
INDIA/US,21/06/2001,47.05
